chr	start	end	transcript	gene
scaffold_12	16699200	16709701	AnoGra1.1_501267	GTF2H3
scaffold_12	25833019	25858385	AnoGra1.1_507317	HECTD4
scaffold_12	23502003	23503727	AnoGra1.1_504521	HIC2
scaffold_12	16074711	16075013	AnoGra1.1_500519	HIP1R
scaffold_12	24626682	24636627	AnoGra1.1_505751	HPD
scaffold_12	13136576	13147459	AnoGra1.1_499119	HSPB8
scaffold_12	25231653	25234130	AnoGra1.1_506556	HVCN1
scaffold_12	15850310	15902153	AnoGra1.1_500342	IFT81
scaffold_12	11616728	11631570	AnoGra1.1_497495	INPP5J
scaffold_12	13611869	13620181	AnoGra1.1_499428	IQCD
scaffold_12	26263331	26275151	AnoGra1.1_507854	ISCU
scaffold_12	11654198	11671561	AnoGra1.1_497541	ISG15
scaffold_12	24406331	24457609	AnoGra1.1_505564	KDM2B
scaffold_12	16597318	16607792	AnoGra1.1_501139	KMT5A
scaffold_12	25067932	25128689	AnoGra1.1_506213	KNTC1
scaffold_12	15184681	15318096	AnoGra1.1_499986	KSR2
scaffold_12	13747046	13762910	AnoGra1.1_499652	LHX5
scaffold_12	24779600	24806638	AnoGra1.1_505953	LRRC43
scaffold_12	12245200	12253134	AnoGra1.1_497835	LRRC74B
scaffold_12	23215240	23228207	AnoGra1.1_504351	MAPK1
scaffold_12	25687575	25712989	AnoGra1.1_507023	MAPKAPK5
scaffold_12	14773396	14839949	AnoGra1.1_499816	MED13L
scaffold_12	12579880	12589721	AnoGra1.1_498408	MLEC
scaffold_12	24721751	24767556	AnoGra1.1_505841	MLXIP
scaffold_12	24499787	24509851	AnoGra1.1_505622	MORN3
scaffold_12	16466390	16471247	AnoGra1.1_500815	MPHOSPH9
scaffold_12	23022918	23024477	AnoGra1.1_504215	MRPL40
scaffold_12	12345611	12374074	AnoGra1.1_498092	MSI1
scaffold_12	25762474	25800117	AnoGra1.1_507189	NAA25
scaffold_12	17025602	17236008	AnoGra1.1_501620	NCOR2
scaffold_12	20197886	20222386	AnoGra1.1_503056	NOC4L
scaffold_12	15481910	15521677	AnoGra1.1_500108	NOS1
scaffold_12	16221416	16231915	AnoGra1.1_500627	OGFOD2
scaffold_12	24478353	24489474	AnoGra1.1_505614	ORAI1
scaffold_12	11674919	11683551	AnoGra1.1_497553	P2RX2
scaffold_12	15802501	15809056	AnoGra1.1_500282	P2RX4
scaffold_12	12255709	12263245	AnoGra1.1_497859	P2RX6
scaffold_12	15825976	15831754	AnoGra1.1_500316	P2RX7
scaffold_12	21453057	21471357	AnoGra1.1_503547	PGAM5
scaffold_12	23606338	23627144	AnoGra1.1_504535	PI4KA
scaffold_12	16261221	16350410	AnoGra1.1_500659	PITPNM2
scaffold_12	12334914	12338371	AnoGra1.1_498071	PLA2G1B
scaffold_12	11633394	11639469	AnoGra1.1_497523	PLA2G3
scaffold_12	13695693	13710908	AnoGra1.1_499538	PLBD2
scaffold_12	11685856	11727511	AnoGra1.1_497611	POLE
scaffold_12	12469811	12473346	AnoGra1.1_498364	POP5
scaffold_12	23095846	23168135	AnoGra1.1_504289	PPIL2
scaffold_12	23242678	23263044	AnoGra1.1_504392	PPM1F
scaffold_12	25247412	25270632	AnoGra1.1_506570	PPP1CC
scaffold_12	25189050	25203695	AnoGra1.1_506488	PPTC7
scaffold_12	12720572	12723635	AnoGra1.1_498519	PRKAB1
scaffold_12	24643724	24649385	AnoGra1.1_505779	PSMD9
scaffold_12	26005815	26030139	AnoGra1.1_507605	PTPN11
scaffold_12	20087895	20097202	AnoGra1.1_502926	PUS1
scaffold_12	12982774	13006240	AnoGra1.1_498860	PXN
scaffold_12	12934343	12950194	AnoGra1.1_498838	RAB35
scaffold_12	25160335	25183289	AnoGra1.1_506462	RAD9B
scaffold_12	19826902	19832763	AnoGra1.1_502719	RAN
scaffold_12	21627617	21632334	AnoGra1.1_503631	RANBP1
scaffold_12	13511847	13537894	AnoGra1.1_499302	RASAL1
scaffold_12	13904390	13960912	AnoGra1.1_499672	RBM19
scaffold_12	15121363	15141883	AnoGra1.1_499960	RFC5
scaffold_12	24560422	24570310	AnoGra1.1_505691	RHOF
scaffold_12	16626238	16650998	AnoGra1.1_501173	RILPL1
scaffold_12	16613118	16617215	AnoGra1.1_501157	RILPL2
scaffold_12	19566693	19656482	AnoGra1.1_502442	RIMBP2
scaffold_12	13609101	13611071	AnoGra1.1_499420	RITA1
scaffold_12	12452490	12467710	AnoGra1.1_498252	RNF10
scaffold_12	24387903	24402250	AnoGra1.1_505530	RNF34
scaffold_12	15767713	15783005	AnoGra1.1_500246	RNFT2
scaffold_12	26075551	26103301	AnoGra1.1_507672	RPH3A
scaffold_12	25976657	25985858	AnoGra1.1_507572	RPL6
scaffold_12	13015666	13021208	AnoGra1.1_498944	RPLP0
scaffold_12	25049639	25057637	AnoGra1.1_506191	RSRC2
scaffold_12	11941583	11949798	AnoGra1.1_497731	RTN4R
scaffold_12	26233614	26261540	AnoGra1.1_507812	SART3
scaffold_12	16536389	16577371	AnoGra1.1_500941	SBNO1
scaffold_12	17413060	17456615	AnoGra1.1_502001	SCARB1
scaffold_12	12189102	12222020	AnoGra1.1_497783	SCARF2
scaffold_12	23373780	23381854	AnoGra1.1_504448	SDF2L1
scaffold_12	13721369	13721584	AnoGra1.1_499626	SDS
scaffold_12	13736426	13741905	AnoGra1.1_499632	SDSL
scaffold_12	26320516	26321676	AnoGra1.1_507880	SELPLG
scaffold_12	23628595	23633648	AnoGra1.1_504611	SERPIND1
scaffold_12	24589618	24621406	AnoGra1.1_505711	SETD1B
scaffold_12	19839631	19895686	AnoGra1.1_502735	SFSWAP
scaffold_12	25509762	25562021	AnoGra1.1_506656	SH2B3
scaffold_12	12306451	12309985	AnoGra1.1_498027	SIRT4
scaffold_12	18854642	18907414	AnoGra1.1_502334	SLC15A4
scaffold_12	12238780	12242061	AnoGra1.1_497823	SLC7A4
scaffold_12	13663903	13675665	AnoGra1.1_499500	SLC8B1
scaffold_12	11570923	11601373	AnoGra1.1_497344	SMTN
scaffold_12	23668207	23677359	AnoGra1.1_504669	SNAP29
scaffold_12	16621452	16622240	AnoGra1.1_501167	SNRNP35
scaffold_12	12626185	12636789	AnoGra1.1_498460	SPPL3
scaffold_12	12417556	12426759	AnoGra1.1_498214	SRSF9
scaffold_12	19788320	19820648	AnoGra1.1_502672	STX2
scaffold_12	13334428	13338739	AnoGra1.1_499167	SUDS3
scaffold_12	13385892	13445654	AnoGra1.1_499197	TAOK3
scaffold_12	12669911	12688143	AnoGra1.1_498486	TBC1D10A
scaffold_12	14063965	14075732	AnoGra1.1_499736	TBX5
scaffold_12	25216849	25231005	AnoGra1.1_506524	TCTN1
scaffold_12	16719989	16737406	AnoGra1.1_501336	TCTN2
scaffold_12	16660082	16669012	AnoGra1.1_501191	TMED2
scaffold_12	25720978	25748395	AnoGra1.1_507125	TMEM116
scaffold_12	26284804	26285646	AnoGra1.1_507868	TMEM119
scaffold_12	24526357	24557671	AnoGra1.1_505636	TMEM120B
scaffold_12	18675427	18821805	AnoGra1.1_502291	TMEM132C
scaffold_12	18992787	19131434	AnoGra1.1_502380	TMEM132D
scaffold_12	12707185	12707841	AnoGra1.1_498513	TMEM233
scaffold_12	23266016	23296992	AnoGra1.1_504410	TOP3B
scaffold_12	13627254	13655740	AnoGra1.1_499442	TPCN1
scaffold_12	25820994	25828633	AnoGra1.1_507241	TRAFD1
scaffold_12	12408809	12410109	AnoGra1.1_498194	TRIAP1
scaffold_12	21641722	21655193	AnoGra1.1_503658	TRMT2A
scaffold_12	23414565	23431059	AnoGra1.1_504484	UBE2L3
scaffold_12	20017335	20079149	AnoGra1.1_502807	ULK1
scaffold_12	12601929	12606086	AnoGra1.1_498422	UNC119B
scaffold_12	24277868	24279515	AnoGra1.1_505401	VPS29
scaffold_12	24854097	24872071	AnoGra1.1_506042	VPS33A
scaffold_12	16157394	16160796	AnoGra1.1_500589	VPS37B
scaffold_12	15071249	15088988	AnoGra1.1_499912	VSIG10
scaffold_12	15098384	15117604	AnoGra1.1_499938	WSB2
scaffold_12	26152270	26170151	AnoGra1.1_507755	WSCD2
scaffold_12	23403961	23411859	AnoGra1.1_504470	YDJC
scaffold_12	23174039	23183249	AnoGra1.1_504333	YPEL1
scaffold_12	25026142	25039654	AnoGra1.1_506132	ZCCHC8
scaffold_12	21491312	21612219	AnoGra1.1_503578	ZDHHC8
